alpha,success_rate,goal_rate,collision_free_rate
0.00,19.20,40.40,58.40
0.05,33.00,69.40,39.80
0.10,30.40,71.40,34.60
0.15,30.20,73.60,33.20
0.20,28.80,74.00,30.20
0.25,28.60,74.00,30.40
0.30,28.20,74.20,29.60
0.35,28.80,74.80,30.20
0.40,28.60,74.20,29.80
0.45,29.00,74.20,30.00
0.50,29.20,74.00,30.20
0.55,29.20,74.60,30.20
0.60,29.40,74.80,30.40
0.65,30.00,75.20,31.00
0.70,29.60,74.40,30.60
0.75,30.40,75.20,31.40
0.80,30.40,74.40,31.40
0.85,30.60,74.80,31.60
0.90,31.00,74.80,32.00
0.95,30.80,74.80,31.80
1.00,30.80,75.80,31.80
