lambda_prior,lambda_collision,success_rate,goal_rate,collision_free_rate
0.001,0.1,56.0,95.2,56.6
0.001,0.25,58.6,93.0,59.2
0.001,0.5,59.0,90.4,59.6
0.001,1.0,58.0,85.6,60.4
0.001,2.0,59.6,81.8,63.0
0.001,5.0,61.2,78.8,65.8
0.001,10.0,62.6,79.2,67.2
0.005,0.1,55.6,96.0,55.6
0.005,0.25,57.2,93.2,57.4
0.005,0.5,58.0,90.2,58.6
0.005,1.0,59.4,86.8,60.8
0.005,2.0,60.6,82.4,62.8
0.005,5.0,60.6,79.4,65.2
0.005,10.0,62.0,78.0,67.6
0.01,0.1,55.6,96.2,56.6
0.01,0.25,58.0,92.4,59.2
0.01,0.5,58.8,91.0,60.4
0.01,1.0,60.6,86.0,63.2
0.01,2.0,61.2,80.8,64.8
0.01,5.0,63.6,79.4,68.2
0.01,10.0,63.2,78.2,70.0
0.05,0.1,56.8,97.0,57.2
0.05,0.25,58.2,95.4,58.8
0.05,0.5,59.6,92.0,60.8
0.05,1.0,61.0,85.0,63.6
0.05,2.0,61.8,78.6,67.4
0.05,5.0,63.2,76.4,69.8
0.05,10.0,62.8,76.6,70.8
0.1,0.1,55.0,97.0,56.8
0.1,0.25,55.8,96.6,57.8
0.1,0.5,57.0,91.8,59.8
0.1,1.0,57.4,86.2,61.6
0.1,2.0,58.0,78.4,64.6
0.1,5.0,59.8,75.6,68.4
0.1,10.0,62.2,75.2,69.8
